subtype,gene,mwu_stat,p_value,effect_size,mean_in,mean_out,log2fc,is_ppp_gene
Subtype_B,IL18,110.5,0.9794114367268318,0.3928571428571429,6.53086077259168,8.60237205465214,-2.0715112820604595,True
Subtype_B,MYD88,111.0,0.978712152074206,0.39010989010989006,6.487133239846263,8.307023909126427,-1.8198906692801637,True
Subtype_B,NFE2L2,114.0,0.973977666629241,0.37362637362637363,6.7606151559734915,8.373160316709129,-1.6125451607356371,True
Subtype_B,IL12B,114.5,0.9730918302263012,0.3708791208791209,6.761045373211947,8.647008842636492,-1.8859634694245448,True
Subtype_B,MMP2,117.0,0.9684298870325361,0.3571428571428571,6.111104574471233,8.246711260542835,-2.1356066860716014,True
Subtype_B,C3,117.0,0.9683679603087901,0.3571428571428571,7.046462191010157,8.779760472450645,-1.7332982814404883,True
Subtype_B,OCLN,118.0,0.9662983069359093,0.3516483516483516,7.144091952694427,8.777934181219553,-1.6338422285251264,True
Subtype_B,NFKB1,118.0,0.9663047328844584,0.3516483516483516,6.249900415374924,8.62678003447451,-2.3768796190995864,True
Subtype_B,CD8A,118.0,0.9663625617230845,0.3516483516483516,4.7898459843615475,6.842347180015766,-2.0525011956542185,True
Subtype_B,MMP9,121.0,0.9594122752448541,0.3351648351648352,6.922191461049335,8.819797020614736,-1.8976055595654007,True
Subtype_B,IFNG,121.0,0.9594122752448541,0.3351648351648352,7.130249029124528,8.748907493276883,-1.6186584641523556,True
Subtype_B,NOX4,122.0,0.9568777807523859,0.3296703296703297,7.118047324505284,8.630379865683269,-1.5123325411779849,True
Subtype_B,IL8,126.0,0.9456022102294692,0.3076923076923077,6.341162448772715,8.08279217273936,-1.7416297239666454,True
Subtype_B,TLR4,126.0,0.9454692657833351,0.3076923076923077,6.743359551358467,8.363147286993096,-1.6197877356346284,True
Subtype_B,TJP1,126.0,0.9454360363993897,0.3076923076923077,7.371404468577209,8.581556340249302,-1.2101518716720925,True
Subtype_C,HLA-DRA,8.5,0.9980534561046409,0.8819444444444444,1.5901201953592465,6.590542718157932,-5.000422522798686,True
Subtype_C,SOD1,30.0,0.9723262242366987,0.5833333333333333,5.3028094283787315,6.402984672643759,-1.1001752442650279,True
Subtype_C,PDCD1,32.0,0.9666812561549403,0.5555555555555556,4.588411888562071,6.670671940361082,-2.082260051799011,True
Subtype_C,NFE2L2,48.0,0.8653665961579874,0.33333333333333337,5.875996876011401,8.023522025389465,-2.1475251493780636,True
Subtype_C,NFKBIA,49.0,0.8489112594375753,0.3194444444444444,7.321963528357848,8.263987835903109,-0.9420243075452603,True
Subtype_C,MPO,49.0,0.8553504946364932,0.3194444444444444,5.090959444517586,6.521787317719331,-1.4308278732017445,True
Subtype_C,ESR2,50.0,0.8381113907429697,0.3055555555555556,7.6645868993221296,8.443934746963087,-0.7793478476409579,True
Subtype_C,CX3CR1,52.5,0.8163950429727527,0.27083333333333337,6.330083185773836,8.16448521662713,-1.8344020308532931,True
Subtype_C,CCL3,52.5,0.8163950429727527,0.27083333333333337,6.295143862066003,8.129495955078195,-1.8343520930121917,True
